index,keyword,rank,bid,impressions,clicks,cpc,cost,bid_cal,impressions_cal,clicks_cal,attr
9,캐드,10,6520,14483,34,5621.0,191104,0.0,0.0,0.0,저관련인기
3,캡스톤디자인,4,690,12383,83,551.0,45765,0.3666666666666667,0.0,0.4473684210526315,고관련인기
4,DESIGN,5,670,5586,3,667.0,2001,0.1842105263157895,0.27509578544061297,0.5,고관련인기
9,목업,10,4940,5513,5,4290.0,21452,0.0,0.0,0.0,저관련인기
9,인벤터,10,1170,5445,0,,0,0.0,0.0,0.0,저관련인기
4,설계,5,1810,5331,3,1473.0,4418,0.13445378151260506,0.0,0.5,고관련인기
8,도면,9,550,6335,5,447.0,2234,0.12244897959183673,0.0,0.25,고관련인기
6,기계,7,220,4204,3,202.0,606,0.11764705882352941,0.020806658130601785,0.5,저관련인기
9,DWG,10,120,3912,8,120.0,960,0.0,0.0,0.0,저관련인기
9,3D,10,1900,3362,6,1878.0,11271,0.0,0.0,0.0,저관련인기
9,지그,10,1300,3469,1,1175.0,1175,0.0,0.0,0.0,저관련인기
9,발명품,10,250,3259,4,203.0,813,0.0,0.0,0.0,저관련인기
7,3D모델링,8,9300,3040,9,8415.0,75738,0.040697674418604654,0.0020113979215554793,0.14285714285714285,고관련인기
3,제조업,4,800,3046,7,650.0,4549,0.5757575757575758,0.0,0.5,고관련인기
1,도면그리기,2,3230,2903,6,3230.0,19380,8.666666666666668,0.0,0.6666666666666667,고관련인기
9,모델링,10,1680,1991,1,1395.0,1395,0.0,0.0,0.0,고관련인기
4,제품디자인,5,17400,2571,79,15012.0,1185954,0.0751445086705202,0.05232558139534882,0.3142857142857143,고관련인기
5,시제품제작,6,10820,2569,4,9366.0,37466,0.11265822784810131,0.006553795740032786,2.0,고관련인기
1,산업디자인,2,7350,2512,9,6289.0,56601,0.10625000000000001,0.0,1.0,고관련인기
1,캡스톤디자인아이디어,2,230,2338,7,186.0,1302,1.1428571428571428,2.183279742765273,0.5,고관련인기
3,목업제작,4,7900,2153,1,6961.0,6961,0.22198275862068967,0.0,0.0,고관련인기
9,공작기계,10,2250,1705,7,2030.0,14208,0.0,0.0,0.0,저관련인기
2,외주나라,3,70,1794,1,70.0,70,0.0,0.0,0.0,저관련인기
0,고캐드,1,240,1797,0,,0,2.142857142857143,0.48472505091649687,0.0,저관련인기
9,JIG,10,830,1809,0,,0,0.0,0.0,0.0,저관련인기
0,3D모델링프로그램,1,6100,1710,9,3250.0,29251,2.6122448979591835,0.0,0.4,고관련인기
4,기계설계,5,8580,1670,9,7702.0,69315,0.032400589101620025,0.04699093157460843,3.0,고관련인기
9,라이노3D,10,2410,1032,1,2063.0,2063,0.0,0.0,0.0,저관련인기
9,DWG파일,10,180,1638,4,146.0,585,0.0,0.0,0.0,저관련인기
9,UG,10,330,1592,3,268.0,804,0.0,0.0,0.0,저관련인기
1,CASCADING,2,230,1584,0,,0,0.2857142857142856,0.07643312101910826,0.0,저관련인기
5,3D프로그램,6,1610,1725,4,1381.0,5524,0.21428571428571436,0.03389830508474567,0.0,저관련인기
9,발명품아이디어,10,490,1521,3,371.0,1113,0.0,0.0,0.0,저관련인기
5,디자인회사,6,5040,1597,43,4664.0,200536,0.12154696132596687,0.012184508268059224,0.05555555555555555,고관련인기
9,기계설비,10,1580,1028,3,1371.0,4113,0.0,0.0,0.0,저관련인기
7,진공주형,8,790,1455,4,645.0,2580,0.40425531914893614,0.09288702928870295,0.3333333333333333,저관련인기
9,모형,10,4530,1253,3,3620.0,10860,0.0,0.0,0.0,저관련인기
0,설계도,1,1010,1310,14,774.0,10841,0.8571428571428568,0.0,8.0,고관련인기
8,STP파일,9,70,1244,2,70.0,140,0.0,0.0,0.0,저관련인기
2,CURA,3,170,466,0,,0,1.4285714285714286,0.0,0.0,저관련비인기
9,3D캐드,10,6630,1112,0,,0,0.0,0.0,0.0,저관련인기
8,기발한아이디어상품,9,160,1114,19,154.0,2934,0.06666666666666667,0.03821062441752097,0.1875,저관련인기
2,목업사이트,3,1860,1053,3,1504.0,4511,0.16216216216216228,0.01623815967523684,1.0,저관련인기
7,기구설계,8,7520,1085,15,6633.0,99497,0.051470588235294115,0.006647673314339981,0.07692307692307693,고관련인기
9,마스터캠,10,800,794,0,,0,0.0,0.0,0.0,저관련비인기
9,캠프로그램,10,70,330,0,,0,0.0,0.0,0.0,저관련비인기
9,설계도면,10,720,682,2,446.0,892,0.0,0.0,0.0,고관련비인기
9,DXF파일,10,70,922,0,,0,0.0,0.0,0.0,저관련비인기
9,3D도면,10,2220,683,2,1900.0,3799,0.0,0.0,0.0,고관련비인기
9,조형물제작,10,8030,716,0,,0,0.0,0.0,0.0,고관련비인기
1,무료목업,2,290,431,0,,0,3.142857142857143,0.0,0.0,저관련비인기
9,제품디자인회사,10,9840,723,0,,0,0.0,0.0,0.0,고관련비인기
9,기초디자인,10,4170,693,1,3387.0,3387,0.0,0.0,0.0,고관련비인기
9,UGNX,10,290,878,0,,0,0.0,0.0,0.0,저관련비인기
9,아이디어스케치,10,590,622,0,,0,0.0,0.0,0.0,저관련비인기
9,가구디자인,10,1450,609,3,1251.0,3752,0.0,0.0,0.0,고관련비인기
9,위탁생산,10,170,737,4,163.0,653,0.0,0.0,0.0,고관련비인기
9,제품디자이너,10,2160,483,1,1766.0,1766,0.0,0.0,0.0,저관련비인기
9,케이스제작,10,1560,529,5,1350.0,6751,0.0,0.0,0.0,고관련비인기
9,디자인컨셉,10,430,568,0,,0,0.0,0.0,0.0,고관련비인기
9,역설계,10,10390,576,6,8580.0,51482,0.0,0.0,0.0,고관련비인기
9,캐드파일,10,270,707,0,,0,0.0,0.0,0.0,저관련비인기
9,산업디자이너,10,650,601,0,,0,0.0,0.0,0.0,저관련비인기
9,디자인전문회사,10,4250,698,4,3769.0,15076,0.0,0.0,0.0,고관련비인기
2,DXF,3,210,352,0,,0,2.0,0.0,0.0,저관련비인기
9,제품개발,10,5250,544,11,5205.0,57252,0.0,0.0,0.0,고관련비인기
9,디자인외주,10,2840,432,0,,0,0.0,0.0,0.0,고관련비인기
9,STL파일,10,160,607,0,,0,0.0,0.0,0.0,저관련비인기
9,3D디자인,10,4930,402,3,4004.0,12012,0.0,0.0,0.0,고관련비인기
9,기계장치,10,70,512,0,,0,0.0,0.0,0.0,저관련비인기
9,라이노6,10,160,580,3,141.0,422,0.0,0.0,0.0,저관련비인기
9,CADCAM,10,1420,594,1,1273.0,1273,0.0,0.0,0.0,저관련비인기
9,3DCAD,10,4680,376,1,4680.0,4680,0.0,0.0,0.0,저관련비인기
9,H/W,10,70,560,0,,0,0.0,0.0,0.0,저관련비인기
9,비교견적,10,1990,458,0,,0,0.0,0.0,0.0,저관련비인기
9,도면프로그램,10,240,540,6,240.0,1440,0.0,0.0,0.0,고관련비인기
9,CAD프로그램,10,870,388,1,716.0,716,0.0,0.0,0.0,저관련비인기
9,컵제작,10,2060,378,29,1814.0,52616,0.0,0.0,0.0,고관련비인기
9,아이디어제품,10,1210,411,1,1046.0,1046,0.0,0.0,0.0,저관련비인기
9,디자인업체,10,3880,565,22,3417.0,75173,0.0,0.0,0.0,고관련비인기
9,졸작,10,340,492,1,314.0,314,0.0,0.0,0.0,저관련비인기
9,모형제작,10,12780,401,1,11355.0,11355,0.0,0.0,0.0,고관련비인기
9,시작품,10,820,498,1,697.0,697,0.0,0.0,0.0,저관련비인기
9,설계프로그램,10,680,467,2,552.0,1105,0.0,0.0,0.0,고관련비인기
9,STEP파일,10,70,250,1,70.0,70,0.0,0.0,0.0,저관련비인기
9,캐드출력,10,1340,491,1,1097.0,1097,0.0,0.0,0.0,저관련비인기
9,캐드3D,10,3050,463,0,,0,0.0,0.0,0.0,저관련비인기
9,제조업체,10,760,443,6,646.0,3877,0.0,0.0,0.0,고관련비인기
9,3D모델러,10,2010,314,0,,0,0.0,0.0,0.0,저관련비인기
9,외주업체,10,460,437,1,460.0,460,0.0,0.0,0.0,저관련비인기
9,NXUG,10,120,419,2,98.0,195,0.0,0.0,0.0,저관련비인기
9,캐드캠,10,1930,321,2,1632.0,3265,0.0,0.0,0.0,저관련비인기
9,산업디자인전문회사,10,2450,308,2,2450.0,4900,0.0,0.0,0.0,고관련비인기
2,볼트앤너트,3,340,162,0,,0,3.857142857142857,0.0,0.0,저관련비인기
9,3D설계,10,5740,250,1,4790.0,4790,0.0,0.0,0.0,고관련비인기
9,산업디자인과,10,170,354,1,170.0,170,0.0,0.0,0.0,고관련비인기
9,아이폰목업,10,120,346,0,,0,0.0,0.0,0.0,저관련비인기
9,조명디자인,10,1180,277,1,1073.0,1073,0.0,0.0,0.0,고관련비인기
9,설계용역,10,1930,346,2,1577.0,3154,0.0,0.0,0.0,고관련비인기
9,CAD/CAM,10,670,298,1,598.0,598,0.0,0.0,0.0,저관련비인기
9,제품설계,10,7080,319,4,6232.0,24928,0.0,0.0,0.0,고관련비인기
9,3D프린터모델링,10,1740,216,0,,0,0.0,0.0,0.0,고관련비인기
9,지그제작,10,2790,313,8,2425.0,19397,0.0,0.0,0.0,고관련비인기
9,기계제작,10,2470,306,15,2135.0,32026,0.0,0.0,0.0,고관련비인기
9,제조공장,10,1620,288,0,,0,0.0,0.0,0.0,고관련비인기
9,기계도면,10,340,291,1,276.0,276,0.0,0.0,0.0,고관련비인기
9,3D프린터도면,10,360,282,0,,0,0.0,0.0,0.0,고관련비인기
9,기계부품,10,490,245,0,,0,0.0,0.0,0.0,저관련비인기
9,상품개발,10,690,265,3,608.0,1823,0.0,0.0,0.0,고관련비인기
9,DWF,10,70,72,0,,0,0.0,0.0,0.0,저관련비인기
9,캐드알바,10,110,246,0,,0,0.0,0.0,0.0,저관련비인기
9,캐드도면설계,10,340,229,1,340.0,340,0.0,0.0,0.0,고관련비인기
9,무료CAD,10,200,244,2,200.0,400,0.0,0.0,0.0,저관련비인기
9,캡스톤아이디어,10,70,248,0,,0,0.0,0.0,0.0,저관련비인기
9,도면출력,10,1120,229,4,907.0,3627,0.0,0.0,0.0,고관련비인기
9,디자인제작,10,3370,147,3,2947.0,8842,0.0,0.0,0.0,고관련비인기
9,3D라이노,10,410,216,1,183.0,183,0.0,0.0,0.0,저관련비인기
9,디자인소품,10,340,207,4,312.0,1250,0.0,0.0,0.0,고관련비인기
9,기계과졸업작품,10,70,218,1,70.0,70,0.0,0.0,0.0,저관련비인기
9,조명제작,10,330,224,7,281.0,1969,0.0,0.0,0.0,고관련비인기
9,산업기계,10,1440,180,3,1184.0,3552,0.0,0.0,0.0,저관련비인기
9,디자인목업,10,3440,168,1,2918.0,2918,0.0,0.0,0.0,고관련비인기
9,플라스틱제조,10,640,171,5,567.0,2836,0.0,0.0,0.0,고관련비인기
9,알루미늄제작,10,390,145,4,371.0,1483,0.0,0.0,0.0,고관련비인기
9,제품제작,10,1890,103,2,1658.0,3316,0.0,0.0,0.0,고관련비인기
9,상품디자인,10,1670,151,2,1486.0,2973,0.0,0.0,0.0,고관련비인기
9,도면제작,10,720,121,1,450.0,450,0.0,0.0,0.0,고관련비인기
9,3D모델링사이트,10,760,108,0,,0,0.0,0.0,0.0,고관련비인기
9,굿즈디자인,10,340,138,5,340.0,1700,0.0,0.0,0.0,고관련비인기
9,제품기획,10,290,136,0,,0,0.0,0.0,0.0,저관련비인기
9,소품제작,10,1090,134,10,942.0,9424,0.0,0.0,0.0,고관련비인기
9,샘플제작,10,3000,89,2,2578.0,5157,0.0,0.0,0.0,고관련비인기
9,디자인개발,10,1020,76,0,,0,0.0,0.0,0.0,고관련비인기
9,도면설계,10,1150,100,0,,0,0.0,0.0,0.0,고관련비인기
9,디자인제품,10,360,109,1,304.0,304,0.0,0.0,0.0,고관련비인기
9,상업디자인,10,70,76,0,,0,0.0,0.0,0.0,고관련비인기
9,공업디자인,10,700,74,0,,0,0.0,0.0,0.0,고관련비인기
9,도면파일,10,150,111,1,113.0,113,0.0,0.0,0.0,고관련비인기
9,3D제작,10,5600,97,0,,0,0.0,0.0,0.0,고관련비인기
9,용기디자인,10,930,92,6,756.0,4533,0.0,0.0,0.0,고관련비인기
9,의료기기디자인,10,4060,85,4,3424.0,13697,0.0,0.0,0.0,고관련비인기
9,기구개발,10,490,101,0,,0,0.0,0.0,0.0,고관련비인기
9,OEM제조,10,220,105,0,,0,0.0,0.0,0.0,고관련비인기
9,외주개발,10,1350,106,2,1210.0,2420,0.0,0.0,0.0,고관련비인기
9,공대졸업작품,10,90,96,6,73.0,439,0.0,0.0,0.0,저관련비인기
9,디자인설계,10,1590,62,1,1391.0,1391,0.0,0.0,0.0,고관련비인기
9,시제품개발,10,4890,92,2,4238.0,8477,0.0,0.0,0.0,고관련비인기
9,제품컨셉,10,70,15,0,,0,0.0,0.0,0.0,저관련비인기
9,제품도면,10,210,90,0,,0,0.0,0.0,0.0,고관련비인기
9,제품생산,10,230,91,0,,0,0.0,0.0,0.0,고관련비인기
9,전시제품,10,200,69,2,162.0,325,0.0,0.0,0.0,저관련비인기
9,디자인컨설팅,10,1930,58,1,1646.0,1646,0.0,0.0,0.0,고관련비인기
9,제작업체,10,410,88,1,340.0,340,0.0,0.0,0.0,고관련비인기
9,용기제작,10,430,67,0,,0,0.0,0.0,0.0,고관련비인기
9,3D프린터설계,10,140,82,0,,0,0.0,0.0,0.0,고관련비인기
9,로봇개발,10,110,83,3,89.0,268,0.0,0.0,0.0,고관련비인기
9,DFAM,10,70,32,0,,0,0.0,0.0,0.0,저관련비인기
9,머그컵디자인,10,810,48,4,658.0,2632,0.0,0.0,0.0,고관련비인기
9,프로토타입제작,10,320,71,0,,0,0.0,0.0,0.0,고관련비인기
9,패키지목업,10,70,17,0,,0,0.0,0.0,0.0,저관련비인기
9,개발회사,10,500,110,5,406.0,2031,0.0,0.0,0.0,고관련비인기
9,마스터캠X9,10,70,7,1,70.0,70,0.0,0.0,0.0,저관련비인기
9,NXCAD,10,70,70,0,,0,0.0,0.0,0.0,저관련비인기
9,인벤터캠,10,70,75,0,,0,0.0,0.0,0.0,저관련비인기
9,DXFDWG,10,70,17,0,,0,0.0,0.0,0.0,저관련비인기
9,생활용품디자인,10,780,59,1,557.0,557,0.0,0.0,0.0,고관련비인기
9,제품개발설계,10,850,58,1,850.0,850,0.0,0.0,0.0,고관련비인기
9,시험장비,10,1950,68,1,1566.0,1566,0.0,0.0,0.0,저관련비인기
9,하드웨어개발,10,1360,65,0,,0,0.0,0.0,0.0,고관련비인기
9,제작의뢰,10,280,53,0,,0,0.0,0.0,0.0,고관련비인기
9,3D외주,10,1390,45,0,,0,0.0,0.0,0.0,저관련비인기
9,시제작,10,140,23,0,,0,0.0,0.0,0.0,고관련비인기
9,외관디자인,10,70,10,1,70.0,70,0.0,0.0,0.0,고관련비인기
9,압력용기설계,10,70,60,3,70.0,210,0.0,0.0,0.0,고관련비인기
9,장비제작,10,360,54,0,,0,0.0,0.0,0.0,고관련비인기
9,캐드설계,10,1780,43,0,,0,0.0,0.0,0.0,고관련비인기
9,특허품,10,120,48,0,,0,0.0,0.0,0.0,저관련비인기
9,디자인개발지원사업,10,110,51,0,,0,0.0,0.0,0.0,고관련비인기
9,제품모델링,10,530,39,0,,0,0.0,0.0,0.0,고관련비인기
9,설계디자인,10,440,43,0,,0,0.0,0.0,0.0,고관련비인기
9,조형물디자인,10,1710,44,1,1389.0,1389,0.0,0.0,0.0,고관련비인기
9,3D모델링파일,10,70,8,0,,0,0.0,0.0,0.0,고관련비인기
9,가전제품디자인,10,2910,33,0,,0,0.0,0.0,0.0,고관련비인기
9,아이디어개발,10,420,37,2,401.0,802,0.0,0.0,0.0,고관련비인기
9,졸업작품만들기,10,140,41,0,,0,0.0,0.0,0.0,저관련비인기
9,제품목업,10,1880,31,2,1584.0,3169,0.0,0.0,0.0,저관련비인기
